# 其他的是80ms，这个是200ms间隔

[INFO],: ADC_IIN_RANK_IDX 3098
data = [
[       0,    3088,    3098,       0],
[       1,    3087,    3098,       1],
[       2,    3096,    3098,       2],
[       3,    3098,    3098,       3],
[       4,    3086,    3098,       4],
[       5,    3090,    3098,       5],
[       6,    3097,    3098,       6],
[       7,    3098,    3098,       7],
[       8,    3098,    3098,       8],
[       9,    3090,    3098,       9],
[      10,    3098,    3098,      10],
[      11,    3091,    3098,      11],
[      12,    3095,    3098,      12],
[      13,    3089,    3098,      13],
[      14,    3098,    3098,      14],
[      15,    3090,    3098,      15],
[      16,    3088,    3098,      16],
[      17,    3088,    3098,      17],
[      18,    3093,    3098,      18],
[      19,    3090,    3098,      19],
[      20,    3092,    3098,      20],
[      21,    3084,    3098,      21],
[      22,    3088,    3098,      22],
[      23,    3087,    3098,      23],
[      24,    3096,    3098,      24],
[      25,    3087,    3098,      25],
[      26,    3090,    3098,      26],
[      27,    3096,    3098,      27],
[      28,    3105,    3098,      28],
[      29,    3097,    3098,      29],
[      30,    3089,    3098,      30],
[      31,    3095,    3098,      31],
[      32,    3099,    3098,      32],
[      33,    3107,    3098,      33],
[      34,    3107,    3098,      34],
[      35,    3112,    3098,      35],
[      36,    3108,    3098,      36],
[      37,    3111,    3098,      37],
[      38,    3119,    3098,      38],
[      39,    3118,    3098,      39],
[      40,    3121,    3098,      40],
[      41,    3130,    3098,      41],
[      42,    3129,    3098,      42],
[      43,    3124,    3098,      43],
[      44,    3123,    3098,      44],
[      45,    3138,    3098,      45],
[      46,    3133,    3098,      46],
[      47,    3134,    3098,      47],
[      48,    3132,    3098,      48],
[      49,    3138,    3098,      49],
[      50,    3133,    3098,      50],
[      51,    3134,    3098,      51],
[      52,    3138,    3098,      52],
[      53,    3148,    3098,      53],
[      54,    3152,    3098,      54],
[      55,    3147,    3098,      55],
[      56,    3139,    3098,      56],
[      57,    3150,    3098,      57],
[      58,    3150,    3098,      58],
[      59,    3144,    3098,      59],
[      60,    3150,    3098,      60],
[      61,    3158,    3098,      61],
[      62,    3153,    3098,      62],
[      63,    3153,    3098,      63],
[      64,    3151,    3098,      64],
[      65,    3157,    3098,      65],
[      66,    3170,    3098,      66],
[      67,    3163,    3098,      67],
[      68,    3158,    3098,      68],
[      69,    3162,    3098,      69],
[      70,    3158,    3098,      70],
[      71,    3172,    3098,      71],
[      72,    3167,    3098,      72],
[      73,    3170,    3098,      73],
[      74,    3178,    3098,      74],
[      75,    3180,    3098,      75],
[      76,    3170,    3098,      76],
[      77,    3173,    3098,      77],
[      78,    3182,    3098,      78],
[      79,    3177,    3098,      79],
[      80,    3176,    3098,      80],
[      81,    3184,    3098,      81],
[      82,    3196,    3098,      82],
[      83,    3181,    3098,      83],
[      84,    3191,    3098,      84],
[      85,    3196,    3098,      85],
[      86,    3183,    3098,      86],
[      87,    3198,    3098,      87],
[      88,    3192,    3098,      88],
[      89,    3209,    3098,      89],
[      90,    3204,    3098,      90],
[      91,    3189,    3098,      91],
[      92,    3198,    3098,      92],
[      93,    3197,    3098,      93],
[      94,    3222,    3098,      94],
[      95,    3221,    3098,      95],
[      96,    3206,    3098,      96],
[      97,    3227,    3098,      97],
[      98,    3215,    3098,      98],
[      99,    3236,    3098,      99],
[     100,    3225,    3098,     100],
[     101,    3218,    3098,     101],
[     102,    3233,    3098,     102],
[     103,    3227,    3098,     103],
[     104,    3229,    3098,     104],
[     105,    3224,    3098,     105],
[     106,    3225,    3098,     106],
[     107,    3239,    3098,     107],
[     108,    3247,    3098,     108],
[     109,    3239,    3098,     109],
[     110,    3242,    3098,     110],
[     111,    3248,    3098,     111],
[     112,    3242,    3098,     112],
[     113,    3237,    3098,     113],
[     114,    3247,    3098,     114],
[     115,    3254,    3098,     115],
[     116,    3256,    3098,     116],
[     117,    3251,    3098,     117],
[     118,    3258,    3098,     118],
[     119,    3243,    3098,     119],
[     120,    3251,    3098,     120],
[     121,    3240,    3098,     121],
[     122,    3245,    3098,     122],
[     123,    3242,    3098,     123],
[     124,    3265,    3098,     124],
[     125,    3256,    3098,     125],
[     126,    3246,    3098,     126],
[     127,    3262,    3098,     127],
[     128,    3264,    3098,     128],
[     129,    3253,    3098,     129],
[     130,    3271,    3098,     130],
[     131,    3256,    3098,     131],
[     132,    3257,    3098,     132],
[     133,    3276,    3098,     133],
[     134,    3259,    3098,     134],
[     135,    3265,    3098,     135],
[     136,    3279,    3098,     136],
[     137,    3261,    3098,     137],
[     138,    3279,    3098,     138],
[     139,    3266,    3098,     139],
[     140,    3281,    3098,     140],
[     141,    3285,    3098,     141],
[     142,    3286,    3098,     142],
[     143,    3283,    3098,     143],
[     144,    3276,    3098,     144],
[     145,    3277,    3098,     145],
[     146,    3296,    3098,     146],
[     147,    3291,    3098,     147],
[     148,    3285,    3098,     148],
[     149,    3296,    3098,     149],
[     150,    3291,    3098,     150],
[     151,    3293,    3098,     151],
[     152,    3290,    3098,     152],
[     153,    3293,    3098,     153],
[     154,    3296,    3098,     154],
[     155,    3299,    3098,     155],
[     156,    3286,    3098,     156],
[     157,    3302,    3098,     157],
[     158,    3305,    3098,     158],
[     159,    3289,    3098,     159],
[     160,    3305,    3098,     160],
[     161,    3311,    3098,     161],
[     162,    3300,    3098,     162],
[     163,    3314,    3098,     163],
[     164,    3318,    3098,     164],
[     165,    3323,    3098,     165],
[     166,    3306,    3098,     166],
[     167,    3312,    3098,     167],
[     168,    3308,    3098,     168],
[     169,    3307,    3098,     169],
[     170,    3314,    3098,     170],
[     171,    3328,    3098,     171],
[     172,    3327,    3098,     172],
[     173,    3332,    3098,     173],
[     174,    3313,    3098,     174],
[     175,    3320,    3098,     175],
[     176,    3333,    3098,     176],
[     177,    3337,    3098,     177],
[     178,    3320,    3098,     178],
[     179,    3321,    3098,     179],
[     180,    3333,    3098,     180],
[     181,    3320,    3098,     181],
[     182,    3325,    3098,     182],
[     183,    3325,    3098,     183],
[     184,    3321,    3098,     184],
[     185,    3327,    3098,     185],
[     186,    3341,    3098,     186],
[     187,    3323,    3098,     187],
[     188,    3337,    3098,     188],
[     189,    3331,    3098,     189],
[     190,    3334,    3098,     190],
[     191,    3336,    3098,     191],
[     192,    3347,    3098,     192],
[     193,    3329,    3098,     193],
[     194,    3342,    3098,     194],
[     195,    3339,    3098,     195],
[     196,    3336,    3098,     196],
[     197,    3341,    3098,     197],
[     198,    3333,    3098,     198],
[     199,    3341,    3098,     199],
[     200,    3346,    3098,     200],
[     201,    3343,    3098,     201],
[     202,    3349,    3098,     202],
[     203,    3341,    3098,     203],
[     204,    3346,    3098,     204],
[     205,    3351,    3098,     205],
[     206,    3341,    3098,     206],
[     207,    3348,    3098,     207],
[     208,    3355,    3098,     208],
[     209,    3350,    3098,     209],
[     210,    3349,    3098,     210],
[     211,    3350,    3098,     211],
[     212,    3351,    3098,     212],
[     213,    3338,    3098,     213],
[     214,    3364,    3098,     214],
[     215,    3364,    3098,     215],
[     216,    3361,    3098,     216],
[     217,    3353,    3098,     217],
[     218,    3349,    3098,     218],
[     219,    3358,    3098,     219],
[     220,    3359,    3098,     220],
[     221,    3359,    3098,     221],
[     222,    3362,    3098,     222],
[     223,    3358,    3098,     223],
[     224,    3356,    3098,     224],
[     225,    3370,    3098,     225],
[     226,    3367,    3098,     226],
[     227,    3366,    3098,     227],
[     228,    3361,    3098,     228],
[     229,    3360,    3098,     229],
[     230,    3365,    3098,     230],
[     231,    3358,    3098,     231],
[     232,    3364,    3098,     232],
[     233,    3370,    3098,     233],
[     234,    3372,    3098,     234],
[     235,    3369,    3098,     235],
[     236,    3368,    3098,     236],
[     237,    3371,    3098,     237],
[     238,    3369,    3098,     238],
[     239,    3366,    3098,     239],
[     240,    3384,    3098,     240],
[     241,    3366,    3098,     241],
[     242,    3372,    3098,     242],
[     243,    3374,    3098,     243],
[     244,    3372,    3098,     244],
[     245,    3373,    3098,     245],
[     246,    3365,    3098,     246],
[     247,    3376,    3098,     247],
[     248,    3372,    3098,     248],
[     249,    3374,    3098,     249],
[     250,    3381,    3098,     250],
[     251,    3372,    3098,     251],
[     252,    3371,    3098,     252],
[     253,    3371,    3098,     253],
[     254,    3376,    3098,     254],
[     255,    3373,    3098,     255],
[     256,    3382,    3098,     256],
[     257,    3378,    3098,     257],
[     258,    3372,    3098,     258],
[     259,    3375,    3098,     259],
[     260,    3384,    3098,     260],
[     261,    3389,    3098,     261],
[     262,    3375,    3098,     262],
[     263,    3383,    3098,     263],
[     264,    3385,    3098,     264],
[     265,    3376,    3098,     265],
[     266,    3380,    3098,     266],
[     267,    3381,    3098,     267],
[     268,    3380,    3098,     268],
[     269,    3384,    3098,     269],
[     270,    3383,    3098,     270],
[     271,    3381,    3098,     271],
[     272,    3394,    3098,     272],
[     273,    3387,    3098,     273],
[     274,    3377,    3098,     274],
[     275,    3380,    3098,     275],
[     276,    3388,    3098,     276],
[     277,    3384,    3098,     277],
[     278,    3380,    3098,     278],
[     279,    3377,    3098,     279],
[     280,    3384,    3098,     280],
[     281,    3386,    3098,     281],
[     282,    3394,    3098,     282],
[     283,    3390,    3098,     283],
[     284,    3378,    3098,     284],
[     285,    3379,    3098,     285],
[     286,    3393,    3098,     286],
[     287,    3385,    3098,     287],
[     288,    3380,    3098,     288],
[     289,    3377,    3098,     289],
[     290,    3386,    3098,     290],
[     291,    3388,    3098,     291],
[     292,    3385,    3098,     292],
[     293,    3388,    3098,     293],
[     294,    3369,    3098,     294],
[     295,    3388,    3098,     295],
[     296,    3379,    3098,     296],
[     297,    3383,    3098,     297],
[     298,    3383,    3098,     298],
[     299,    3370,    3098,     299],
[     300,    3381,    3098,     300],
[     301,    3385,    3098,     301],
[     302,    3390,    3098,     302],
[     303,    3386,    3098,     303],
[     304,    3390,    3098,     304],
[     305,    3381,    3098,     305],
[     306,    3389,    3098,     306],
