[INFO]: AT32F421 WK Demo Start
[INFO]: ADC_IIN_RANK_IDX 3089
[
[       0,    3080,    3089,       0]
[       1,    3088,    3089,       1]
[       2,    3085,    3089,       2]
[       3,    3083,    3089,       3]
[       4,    3085,    3089,       4]
[       5,    3086,    3089,       5]
[       6,    3082,    3089,       6]
[       7,    3081,    3089,       7]
[       8,    3093,    3089,       8]
[       9,    3085,    3089,       9]
[      10,    3089,    3089,      10]
[      11,    3087,    3089,      11]
[      12,    3084,    3089,      12]
[      13,    3088,    3089,      13]
[      14,    3081,    3089,      14]
[      15,    3079,    3089,      15]
[      16,    3085,    3089,      16]
[      17,    3083,    3089,      17]
[      18,    3085,    3089,      18]
[      19,    3087,    3089,      19]
[      20,    3084,    3089,      20]
[      21,    3082,    3089,      21]
[      22,    3091,    3089,      22]
[      23,    3085,    3089,      23]
[      24,    3082,    3089,      24]
[      25,    3082,    3089,      25]
[      26,    3088,    3089,      26]
[      27,    3093,    3089,      27]
[      28,    3086,    3089,      28]
[      29,    3087,    3089,      29]
[      30,    3085,    3089,      30]
[      31,    3089,    3089,      31]
[      32,    3090,    3089,      32]
[      33,    3100,    3089,      33]
[      34,    3103,    3089,      34]
[      35,    3101,    3089,      35]
[      36,    3100,    3089,      36]
[      37,    3107,    3089,      37]
[      38,    3110,    3089,      38]
[      39,    3109,    3089,      39]
[      40,    3109,    3089,      40]
[      41,    3114,    3089,      41]
[      42,    3112,    3089,      42]
[      43,    3113,    3089,      43]
[      44,    3114,    3089,      44]
[      45,    3117,    3089,      45]
[      46,    3116,    3089,      46]
[      47,    3126,    3089,      47]
[      48,    3115,    3089,      48]
[      49,    3123,    3089,      49]
[      50,    3128,    3089,      50]
[      51,    3125,    3089,      51]
[      52,    3133,    3089,      52]
[      53,    3126,    3089,      53]
[      54,    3133,    3089,      54]
[      55,    3128,    3089,      55]
[      56,    3134,    3089,      56]
[      57,    3133,    3089,      57]
[      58,    3132,    3089,      58]
[      59,    3135,    3089,      59]
[      60,    3137,    3089,      60]
[      61,    3146,    3089,      61]
[      62,    3141,    3089,      62]
[      63,    3138,    3089,      63]
[      64,    3143,    3089,      64]
[      65,    3146,    3089,      65]
[      66,    3148,    3089,      66]
